255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
254,254,253,254,246,250,242,253,238,251,253,254,254,254,253,255
254,253,250,249,119,95,248,253,13,249,253,254,254,253,254,255
253,250,199,243,248,250,254,254,247,254,253,253,253,254,254,255
251,133,246,255,253,254,255,254,254,245,155,240,254,254,252,255
254,128,244,253,254,254,254,254,254,254,242,250,138,214,248,255
249,250,255,253,254,254,254,254,254,254,253,253,250,84,240,255
255,251,252,253,254,254,254,254,254,254,254,255,255,252,134,255
247,250,254,253,253,252,253,253,254,254,254,254,253,250,186,255
255,18,254,249,253,254,253,254,254,254,254,254,253,251,133,255
253,131,251,252,253,253,253,254,254,254,254,254,254,252,47,255
255,254,53,232,253,253,254,254,254,254,254,254,250,52,246,255
254,251,247,48,242,251,255,254,254,253,236,245,109,254,254,255
254,253,253,254,248,70,54,46,31,60,65,198,247,252,253,255
254,254,254,254,254,255,254,250,254,255,249,240,253,254,254,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
