255,255,255,255,255,255,254,255,141,253,255,255,255,255,255,255
255,255,255,255,255,254,255,254,191,254,254,255,255,255,255,255
255,255,255,255,254,254,255,196,244,255,255,255,255,255,255,255
255,255,255,255,252,255,249,136,254,254,255,255,255,255,255,255
255,255,255,255,253,252,254,146,255,251,246,255,255,255,255,254
255,255,255,255,255,254,243,206,253,239,230,255,255,254,255,255
255,255,255,255,255,255,158,255,250,235,244,252,255,255,255,254
255,255,255,255,253,255,146,255,255,181,255,255,251,246,253,255
255,255,255,255,254,240,235,255,253,140,211,138,147,245,255,255
255,255,255,255,255,140,254,253,156,133,254,250,252,255,255,254
255,255,255,255,254,142,144,221,175,243,255,255,254,255,255,253
255,255,255,255,251,236,251,254,138,255,255,253,255,255,254,255
255,255,255,255,255,255,255,253,145,254,255,255,255,255,255,255
255,255,255,255,255,255,255,254,156,254,255,252,255,255,255,255
255,255,255,255,255,255,255,253,140,252,255,253,255,255,255,255
255,255,255,255,255,255,255,254,252,255,255,255,255,255,255,255
